County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,2974.0,751.0,1195.0,10.0
OAKLAND,1418.0,343.0,607.0,2.0
MACOMB,1285.0,382.0,590.0,5.0
GENESEE,353.0,106.0,238.0,1.0
KENT,241.0,71.0,150.0,0.0
BERRIEN,164.0,46.0,112.0,0.0
SAGINAW,159.0,59.0,110.0,1.0
WASHTENAW,137.0,58.0,88.0,0.0
SAINT CLAIR,123.0,26.0,35.0,0.0
LIVINGSTON,111.0,17.0,30.0,0.0
INGHAM,87.0,10.0,76.0,0.0
CALHOUN,81.0,19.0,64.0,0.0
MUSKEGON,80.0,14.0,68.0,1.0
SHIAWASSEE,75.0,14.0,54.0,0.0
KALAMAZOO,74.0,24.0,46.0,0.0
BAY,64.0,12.0,63.0,0.0
ALPENA,61.0,9.0,31.0,0.0
TUSCOLA,57.0,20.0,23.0,0.0
LAPEER,52.0,21.0,24.0,0.0
HILLSDALE,51.0,20.0,50.0,0.0
CRAWFORD,36.0,4.0,46.0,0.0
GRATIOT,36.0,11.0,24.0,0.0
OTTAWA,34.0,6.0,44.0,0.0
OTSEGO,33.0,7.0,23.0,0.0
CASS,30.0,8.0,28.0,0.0
MARQUETTE,28.0,8.0,16.0,0.0
IOSCO,27.0,5.0,27.0,0.0
ISABELLA,26.0,5.0,15.0,0.0
MONTCALM,25.0,3.0,6.0,0.0
LENAWEE,14.0,3.0,12.0,0.0
SAINT JOSEPH,11.0,0.0,12.0,0.0
NEWAYGO,9.0,0.0,7.0,0.0
MONROE,7.0,0.0,17.0,0.0
EATON,7.0,2.0,13.0,0.0
GRAND TRAVERSE,6.0,0.0,10.0,0.0
GOGEBIC,6.0,0.0,18.0,0.0
HURON,4.0,0.0,5.0,0.0
JACKSON,4.0,1.0,16.0,0.0
DICKINSON,4.0,0.0,3.0,0.0
MIDLAND,4.0,0.0,8.0,0.0
VAN BUREN,3.0,0.0,18.0,0.0
ARENAC,3.0,0.0,4.0,0.0
ALLEGAN,2.0,0.0,9.0,0.0
OCEANA,2.0,0.0,13.0,1.0
WEXFORD,2.0,0.0,1.0,0.0
CLINTON,2.0,0.0,4.0,0.0
GLADWIN,2.0,0.0,1.0,0.0
OGEMAW,1.0,0.0,1.0,0.0
CLARE,1.0,0.0,2.0,0.0
MASON,1.0,0.0,2.0,0.0
MECOSTA,1.0,0.0,1.0,0.0
DELTA,1.0,0.0,4.0,0.0
PRESQUE ISLE,1.0,0.0,1.0,0.0
ROSCOMMON,0.0,0.0,0.0,0.0
OSCEOLA,0.0,0.0,0.0,0.0
ONTONAGON,0.0,0.0,0.0,0.0
SCHOOLCRAFT,0.0,0.0,1.0,0.0
OSCODA,0.0,0.0,0.0,0.0
SANILAC,0.0,0.0,2.0,0.0
ALCONA,0.0,0.0,1.0,0.0
MONTMORENCY,0.0,0.0,0.0,0.0
MISSAUKEE,0.0,0.0,0.0,0.0
ANTRIM,0.0,0.0,0.0,0.0
BARAGA,0.0,0.0,3.0,0.0
BARRY,0.0,0.0,0.0,0.0
BENZIE,0.0,0.0,1.0,0.0
BRANCH,0.0,0.0,3.0,0.0
CHARLEVOIX,0.0,0.0,9.0,0.0
CHEBOYGAN,0.0,0.0,0.0,0.0
CHIPPEWA,0.0,0.0,0.0,0.0
EMMET,0.0,0.0,1.0,0.0
HOUGHTON,0.0,0.0,1.0,0.0
IONIA,0.0,0.0,2.0,0.0
IRON,0.0,0.0,2.0,0.0
KALKASKA,0.0,0.0,1.0,0.0
ALGER,0.0,0.0,0.0,0.0
LEELANAU,0.0,0.0,4.0,0.0
LUCE,0.0,0.0,0.0,0.0
MACKINAC,0.0,0.0,1.0,0.0
MANISTEE,0.0,0.0,0.0,0.0
MENOMINEE,0.0,0.0,1.0,0.0
LAKE,0.0,0.0,2.0,0.0
