County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3093,768,1267,10
OAKLAND,1465,344,657,2
MACOMB,1300,399,620,5
GENESEE,359,106,259,1
KENT,247,74,191,0
WASHTENAW,217,57,120,1
SAGINAW,178,61,161,1
BERRIEN,171,46,124,0
SAINT CLAIR,127,26,40,0
INGHAM,113,14,101,0
LIVINGSTON,112,17,32,0
MUSKEGON,105,17,84,1
CALHOUN,84,19,66,0
KALAMAZOO,75,24,61,0
SHIAWASSEE,75,14,55,0
BAY,64,12,67,0
ALPENA,61,9,31,0
TUSCOLA,57,21,27,0
LAPEER,52,21,26,0
HILLSDALE,51,20,52,0
CASS,40,10,38,0
CRAWFORD,36,4,48,0
GRATIOT,36,11,31,0
OTTAWA,34,6,47,0
OTSEGO,33,7,23,0
IOSCO,31,5,33,0
MARQUETTE,29,8,19,0
MONTCALM,27,3,9,0
ISABELLA,27,5,19,0
JACKSON,26,2,34,0
DELTA,24,3,18,0
LENAWEE,22,4,17,0
IRON,21,0,14,0
SAINT JOSEPH,13,2,16,0
EATON,13,2,25,0
MONROE,10,0,28,0
NEWAYGO,9,0,7,0
BARRY,9,0,14,0
GRAND TRAVERSE,9,0,17,0
BRANCH,7,0,11,0
GOGEBIC,6,0,18,0
VAN BUREN,6,0,23,0
MENOMINEE,6,0,4,0
HURON,5,0,7,0
DICKINSON,4,0,4,0
MIDLAND,4,1,9,0
CLINTON,3,0,16,0
MECOSTA,3,1,3,0
ARENAC,3,0,4,0
GLADWIN,3,0,4,0
OCEANA,2,0,13,1
WEXFORD,2,0,2,0
ALLEGAN,2,0,15,0
MASON,1,0,4,0
PRESQUE ISLE,1,0,1,0
HOUGHTON,1,0,19,0
SANILAC,1,0,14,0
CLARE,1,0,2,0
OGEMAW,1,1,3,0
ROSCOMMON,0,0,0,0
OSCODA,0,0,0,0
ONTONAGON,0,0,2,0
OSCEOLA,0,0,0,0
SCHOOLCRAFT,0,0,1,0
ALCONA,0,0,5,0
MONTMORENCY,0,0,0,0
EMMET,0,0,6,0
ANTRIM,0,0,0,0
BARAGA,0,0,4,0
BENZIE,0,0,1,0
CHARLEVOIX,0,0,10,0
CHEBOYGAN,0,0,2,0
CHIPPEWA,0,0,0,0
IONIA,0,0,2,0
MISSAUKEE,0,0,0,0
KALKASKA,0,0,2,0
ALGER,0,0,0,0
LEELANAU,0,0,5,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,0,0
LAKE,0,0,2,0
