County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3043,752,1231,10
OAKLAND,1452,348,637,2
MACOMB,1277,382,600,5
GENESEE,354,106,250,1
KENT,242,72,159,0
BERRIEN,169,46,121,0
SAGINAW,164,59,136,1
WASHTENAW,138,58,99,0
SAINT CLAIR,123,26,37,0
LIVINGSTON,111,17,30,0
INGHAM,90,12,83,0
MUSKEGON,86,17,71,1
CALHOUN,83,19,64,0
SHIAWASSEE,75,14,55,0
KALAMAZOO,74,24,52,0
ALPENA,61,9,31,0
TUSCOLA,57,20,27,0
BAY,54,11,64,0
LAPEER,52,21,26,0
HILLSDALE,51,20,51,0
GRATIOT,36,11,25,0
CRAWFORD,36,4,47,0
CASS,36,10,28,0
OTTAWA,34,6,46,0
OTSEGO,33,7,23,0
MARQUETTE,28,8,17,0
IOSCO,27,5,27,0
ISABELLA,26,5,16,0
MONTCALM,25,3,8,0
LENAWEE,17,4,14,0
SAINT JOSEPH,11,2,15,0
MONROE,11,0,23,0
NEWAYGO,9,0,7,0
EATON,8,2,17,0
GOGEBIC,6,0,18,0
GRAND TRAVERSE,6,0,11,0
HURON,6,0,7,0
VAN BUREN,5,0,18,0
DICKINSON,4,0,3,0
JACKSON,4,1,18,0
MIDLAND,4,1,8,0
MENOMINEE,4,0,2,0
GLADWIN,3,0,4,0
ARENAC,3,0,3,0
ALLEGAN,2,0,11,0
OCEANA,2,0,13,1
WEXFORD,2,0,2,0
CLINTON,2,0,5,0
OGEMAW,1,1,1,0
MASON,1,0,3,0
MECOSTA,1,0,1,0
PRESQUE ISLE,1,0,1,0
CLARE,1,0,2,0
DELTA,1,0,4,0
ONTONAGON,0,0,0,0
OSCEOLA,0,0,0,0
SCHOOLCRAFT,0,0,1,0
ROSCOMMON,0,0,0,0
OSCODA,0,0,0,0
SANILAC,0,0,2,0
ALCONA,0,0,3,0
MONTMORENCY,0,0,0,0
EMMET,0,0,3,0
ANTRIM,0,0,0,0
BARAGA,0,0,3,0
BARRY,0,0,0,0
BENZIE,0,0,0,0
BRANCH,0,0,4,0
CHARLEVOIX,0,0,11,0
CHEBOYGAN,0,0,0,0
CHIPPEWA,0,0,0,0
HOUGHTON,0,0,11,0
MISSAUKEE,0,0,0,0
IONIA,0,0,2,0
IRON,0,0,4,0
KALKASKA,0,0,1,0
ALGER,0,0,0,0
LEELANAU,0,0,4,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,0,0
LAKE,0,0,2,0
