County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3096,767,1284,10
OAKLAND,1470,344,663,2
MACOMB,1311,401,633,5
GENESEE,371,106,269,1
KENT,249,74,192,0
WASHTENAW,217,57,121,1
SAGINAW,180,61,163,1
BERRIEN,171,48,126,0
INGHAM,129,16,107,0
SAINT CLAIR,127,26,41,0
LIVINGSTON,112,17,34,1
MUSKEGON,105,18,84,1
CALHOUN,84,19,67,0
KALAMAZOO,75,24,63,0
SHIAWASSEE,75,14,57,0
BAY,65,12,70,0
ALPENA,61,9,31,0
TUSCOLA,57,21,27,0
LAPEER,52,21,26,0
JACKSON,52,2,58,0
HILLSDALE,51,20,52,0
IRON,45,3,27,0
SAINT JOSEPH,40,2,22,0
CASS,40,10,38,0
CRAWFORD,36,4,48,0
GRATIOT,36,11,32,0
OTTAWA,34,6,48,0
IOSCO,34,5,35,0
DELTA,33,3,32,0
OTSEGO,33,7,23,0
MARQUETTE,32,8,23,0
MONTCALM,27,3,10,0
ISABELLA,27,5,19,0
LENAWEE,22,4,18,0
EATON,13,2,25,0
GRAND TRAVERSE,10,0,18,0
MONROE,10,0,32,0
NEWAYGO,9,0,8,0
BARRY,9,1,14,0
DICKINSON,9,0,4,0
BRANCH,7,0,11,0
GOGEBIC,6,0,18,0
MENOMINEE,6,0,4,0
VAN BUREN,6,0,24,0
HURON,5,0,7,0
MIDLAND,4,1,10,0
GLADWIN,4,0,5,0
CLINTON,3,0,21,0
MECOSTA,3,1,3,0
ARENAC,3,0,4,0
OCEANA,2,0,13,1
WEXFORD,2,0,2,0
ALLEGAN,2,0,15,0
MASON,1,0,4,0
PRESQUE ISLE,1,0,1,0
HOUGHTON,1,0,19,0
SANILAC,1,0,14,0
CLARE,1,0,2,0
OGEMAW,1,1,5,0
ROSCOMMON,0,0,0,0
OSCODA,0,0,0,0
ONTONAGON,0,0,2,0
OSCEOLA,0,0,0,0
SCHOOLCRAFT,0,0,1,0
ALCONA,0,0,5,0
MONTMORENCY,0,0,0,0
EMMET,0,0,6,0
ANTRIM,0,0,0,0
BARAGA,0,0,4,0
BENZIE,0,0,4,0
CHARLEVOIX,0,0,10,0
CHEBOYGAN,0,0,2,0
CHIPPEWA,0,0,1,0
IONIA,0,0,3,0
MISSAUKEE,0,0,0,0
KALKASKA,0,0,3,0
ALGER,0,0,0,0
LEELANAU,0,0,5,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,2,0
LAKE,0,0,2,0
