County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3123,769,1307,10
OAKLAND,1473,344,678,2
MACOMB,1350,402,643,5
GENESEE,387,106,287,1
KENT,254,74,204,0
SAGINAW,181,61,170,1
WASHTENAW,175,60,125,1
BERRIEN,172,48,134,0
INGHAM,141,18,131,0
SAINT CLAIR,130,26,44,0
LIVINGSTON,113,17,35,0
MUSKEGON,108,18,86,1
CALHOUN,93,19,73,0
IRON,81,13,49,0
KALAMAZOO,76,24,68,0
SHIAWASSEE,75,14,57,0
BAY,69,12,77,0
ALPENA,61,9,31,0
TUSCOLA,57,21,28,0
DELTA,56,8,42,0
JACKSON,52,17,69,0
LAPEER,52,21,29,0
HILLSDALE,51,20,52,0
SAINT JOSEPH,49,3,29,0
CASS,40,11,39,0
GRATIOT,38,11,37,0
CRAWFORD,36,4,48,0
IOSCO,36,5,38,0
MARQUETTE,34,8,25,0
OTTAWA,34,6,52,0
OTSEGO,33,7,23,0
MONTCALM,29,3,12,0
ISABELLA,27,5,20,0
DICKINSON,24,1,10,0
LENAWEE,22,4,19,0
CLARE,19,0,13,0
EATON,13,2,27,0
GRAND TRAVERSE,12,0,23,0
MONROE,11,0,36,0
NEWAYGO,9,0,9,0
BRANCH,9,0,14,0
BARRY,9,1,17,0
VAN BUREN,7,0,26,0
GOGEBIC,6,0,20,0
MENOMINEE,6,0,4,0
HURON,5,0,9,0
MIDLAND,5,1,16,0
GLADWIN,4,0,7,0
MECOSTA,3,1,3,0
CLINTON,3,0,22,0
ARENAC,3,0,4,0
OCEANA,2,0,13,1
WEXFORD,2,0,2,0
HOUGHTON,2,0,25,0
ALLEGAN,2,0,19,0
OGEMAW,2,1,6,0
MASON,1,0,4,0
PRESQUE ISLE,1,0,1,0
SANILAC,1,0,15,0
OSCODA,0,0,0,0
ROSCOMMON,0,0,0,0
ONTONAGON,0,0,4,0
OSCEOLA,0,0,0,0
SCHOOLCRAFT,0,0,1,0
ALCONA,0,0,5,0
MONTMORENCY,0,0,0,0
EMMET,0,0,6,0
ANTRIM,0,0,2,0
BARAGA,0,0,4,0
BENZIE,0,0,7,0
CHARLEVOIX,0,0,11,0
CHEBOYGAN,0,0,2,0
CHIPPEWA,0,0,1,0
IONIA,0,0,4,0
MISSAUKEE,0,0,0,0
KALKASKA,0,0,3,0
ALGER,0,0,1,0
LEELANAU,0,0,6,0
LUCE,0,0,1,0
MACKINAC,0,0,1,0
MANISTEE,0,0,2,0
LAKE,0,0,3,0
