County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3071,753,1243,10
OAKLAND,1462,344,650,2
MACOMB,1296,397,607,5
GENESEE,357,106,253,1
KENT,246,75,172,0
SAGINAW,180,61,161,1
BERRIEN,171,46,123,0
WASHTENAW,142,58,103,0
SAINT CLAIR,127,26,37,0
LIVINGSTON,111,17,32,0
MUSKEGON,100,17,82,1
INGHAM,94,12,87,0
CALHOUN,83,19,64,0
SHIAWASSEE,75,14,55,0
KALAMAZOO,75,24,57,0
ALPENA,61,9,31,0
TUSCOLA,58,21,27,0
BAY,58,12,65,0
LAPEER,52,21,26,0
HILLSDALE,51,20,51,0
CASS,40,10,30,0
CRAWFORD,36,4,48,0
GRATIOT,36,11,27,0
OTTAWA,34,6,47,0
OTSEGO,33,7,23,0
MARQUETTE,28,8,17,0
ISABELLA,27,5,19,0
IOSCO,27,5,27,0
MONTCALM,25,3,8,0
LENAWEE,22,4,15,0
SAINT JOSEPH,12,2,16,0
EATON,11,2,22,0
MONROE,10,0,26,0
NEWAYGO,9,0,7,0
GRAND TRAVERSE,8,0,15,0
BARRY,7,0,10,0
MENOMINEE,6,0,2,0
GOGEBIC,6,0,18,0
VAN BUREN,5,0,20,0
HURON,5,0,7,0
DELTA,5,0,5,0
BRANCH,4,0,8,0
JACKSON,4,1,22,0
DICKINSON,4,0,3,0
MIDLAND,4,1,8,0
ARENAC,3,0,4,0
GLADWIN,3,0,4,0
MECOSTA,2,0,3,0
WEXFORD,2,0,2,0
IRON,2,0,6,0
CLINTON,2,0,11,0
ALLEGAN,2,0,11,0
OCEANA,2,0,13,1
PRESQUE ISLE,1,0,1,0
MASON,1,0,4,0
OGEMAW,1,1,1,0
SANILAC,1,0,6,0
CLARE,1,0,2,0
OSCODA,0,0,0,0
ROSCOMMON,0,0,0,0
OSCEOLA,0,0,0,0
ONTONAGON,0,0,2,0
SCHOOLCRAFT,0,0,1,0
ALCONA,0,0,5,0
MONTMORENCY,0,0,0,0
MISSAUKEE,0,0,0,0
ANTRIM,0,0,0,0
BARAGA,0,0,3,0
BENZIE,0,0,0,0
CHARLEVOIX,0,0,11,0
CHEBOYGAN,0,0,0,0
CHIPPEWA,0,0,0,0
EMMET,0,0,3,0
HOUGHTON,0,0,12,0
IONIA,0,0,2,0
KALKASKA,0,0,2,0
ALGER,0,0,0,0
LEELANAU,0,0,5,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,0,0
LAKE,0,0,2,0
