County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,2982,742,1198,10
OAKLAND,1435,347,621,2
MACOMB,1275,381,597,5
GENESEE,353,106,245,1
KENT,241,72,153,0
BERRIEN,164,46,121,0
SAGINAW,160,59,120,1
WASHTENAW,137,58,94,0
SAINT CLAIR,123,26,36,0
LIVINGSTON,111,17,30,0
INGHAM,88,12,77,0
MUSKEGON,84,15,69,1
CALHOUN,84,19,65,0
SHIAWASSEE,75,14,55,0
KALAMAZOO,73,24,48,0
ALPENA,61,9,31,0
TUSCOLA,57,20,25,0
BAY,53,11,64,0
LAPEER,52,21,26,0
HILLSDALE,51,20,50,0
GRATIOT,36,11,24,0
CRAWFORD,36,4,47,0
OTTAWA,34,6,45,0
OTSEGO,33,7,23,0
CASS,32,10,26,0
MARQUETTE,28,8,17,0
IOSCO,27,5,27,0
ISABELLA,26,5,15,0
MONTCALM,25,3,8,0
LENAWEE,17,4,13,0
SAINT JOSEPH,11,1,14,0
MONROE,10,0,19,0
NEWAYGO,9,0,7,0
EATON,8,2,17,0
GRAND TRAVERSE,6,0,11,0
GOGEBIC,6,0,18,0
HURON,5,0,7,0
MIDLAND,4,1,8,0
JACKSON,4,1,18,0
DICKINSON,4,0,3,0
VAN BUREN,3,0,18,0
ARENAC,3,0,3,0
WEXFORD,2,0,1,0
CLINTON,2,0,5,0
ALLEGAN,2,0,10,0
OCEANA,2,0,13,1
GLADWIN,2,0,1,0
CLARE,1,0,2,0
DELTA,1,0,4,0
OGEMAW,1,1,1,0
PRESQUE ISLE,1,0,1,0
MASON,1,0,3,0
MECOSTA,1,0,1,0
ROSCOMMON,0,0,0,0
SCHOOLCRAFT,0,0,1,0
SANILAC,0,0,5,0
ONTONAGON,0,0,0,0
OSCODA,0,0,0,0
OSCEOLA,0,0,0,0
ALCONA,0,0,1,0
MONTMORENCY,0,0,0,0
MISSAUKEE,0,0,0,0
ANTRIM,0,0,0,0
BARAGA,0,0,3,0
BARRY,0,0,1,0
BENZIE,0,0,4,0
BRANCH,0,0,3,0
CHARLEVOIX,0,0,9,0
CHEBOYGAN,0,0,0,0
CHIPPEWA,0,0,0,0
EMMET,0,0,2,0
HOUGHTON,0,0,11,0
IONIA,0,0,1,0
IRON,0,0,3,0
KALKASKA,0,0,1,0
ALGER,0,0,0,0
LEELANAU,0,0,4,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,0,0
MENOMINEE,0,0,2,0
LAKE,0,0,2,0
