County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3110,768,1295,10
OAKLAND,1470,344,668,2
MACOMB,1325,402,636,5
GENESEE,382,106,283,1
KENT,249,74,196,0
WASHTENAW,217,57,123,1
SAGINAW,179,61,164,1
BERRIEN,171,48,131,0
INGHAM,136,16,111,0
SAINT CLAIR,130,26,43,0
LIVINGSTON,113,17,35,0
MUSKEGON,105,18,84,1
CALHOUN,85,19,68,0
KALAMAZOO,75,24,65,0
SHIAWASSEE,75,14,57,0
BAY,67,12,74,0
ALPENA,61,9,31,0
IRON,57,8,44,0
TUSCOLA,57,21,28,0
JACKSON,52,12,61,0
LAPEER,52,21,28,0
HILLSDALE,51,20,52,0
SAINT JOSEPH,49,2,28,0
DELTA,40,6,40,0
CASS,40,11,39,0
IOSCO,36,5,38,0
CRAWFORD,36,4,48,0
GRATIOT,36,11,32,0
OTTAWA,34,6,51,0
OTSEGO,33,7,23,0
MARQUETTE,32,8,25,0
ISABELLA,27,5,19,0
MONTCALM,27,3,11,0
LENAWEE,22,4,18,0
DICKINSON,13,1,10,0
EATON,13,2,27,0
GRAND TRAVERSE,11,0,19,0
MONROE,10,0,32,0
NEWAYGO,9,0,9,0
BARRY,9,1,15,0
BRANCH,7,0,11,0
VAN BUREN,7,0,25,0
GOGEBIC,6,0,19,0
MENOMINEE,6,0,4,0
HURON,5,0,8,0
GLADWIN,4,0,7,0
MIDLAND,4,1,12,0
CLARE,4,0,2,0
MECOSTA,3,1,3,0
CLINTON,3,0,21,0
ARENAC,3,0,4,0
OCEANA,2,0,13,1
WEXFORD,2,0,2,0
ALLEGAN,2,0,16,0
MASON,1,0,4,0
PRESQUE ISLE,1,0,1,0
HOUGHTON,1,0,26,0
SANILAC,1,0,14,0
OGEMAW,1,1,5,0
OSCODA,0,0,0,0
ROSCOMMON,0,0,0,0
ONTONAGON,0,0,3,0
OSCEOLA,0,0,0,0
SCHOOLCRAFT,0,0,1,0
ALCONA,0,0,5,0
MONTMORENCY,0,0,0,0
EMMET,0,0,6,0
ANTRIM,0,0,0,0
BARAGA,0,0,4,0
BENZIE,0,0,4,0
CHARLEVOIX,0,0,10,0
CHEBOYGAN,0,0,2,0
CHIPPEWA,0,0,1,0
IONIA,0,0,3,0
MISSAUKEE,0,0,0,0
KALKASKA,0,0,3,0
ALGER,0,0,1,0
LEELANAU,0,0,5,0
LUCE,0,0,1,0
MACKINAC,0,0,1,0
MANISTEE,0,0,2,0
LAKE,0,0,2,0
