County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3079,753,1257,10
OAKLAND,1464,344,652,2
MACOMB,1299,397,610,5
GENESEE,357,106,253,1
KENT,248,75,177,0
SAGINAW,181,61,164,1
BERRIEN,171,46,123,0
WASHTENAW,142,58,105,0
SAINT CLAIR,127,26,37,0
LIVINGSTON,112,17,32,0
MUSKEGON,104,17,83,1
INGHAM,94,12,94,0
CALHOUN,84,19,65,0
SHIAWASSEE,75,14,55,0
KALAMAZOO,75,24,59,0
BAY,61,12,66,0
ALPENA,61,9,31,0
TUSCOLA,57,21,27,0
LAPEER,52,21,26,0
HILLSDALE,51,20,51,0
CASS,40,10,35,0
CRAWFORD,36,4,48,0
GRATIOT,36,11,28,0
OTTAWA,34,6,47,0
OTSEGO,33,7,23,0
MARQUETTE,29,8,18,0
IOSCO,27,5,28,0
MONTCALM,27,3,9,0
ISABELLA,27,5,19,0
LENAWEE,22,4,17,0
DELTA,14,1,11,0
SAINT JOSEPH,13,2,16,0
EATON,11,2,24,0
MONROE,10,0,28,0
GRAND TRAVERSE,9,0,15,0
NEWAYGO,9,0,7,0
BARRY,9,0,14,0
GOGEBIC,6,0,18,0
MENOMINEE,6,0,3,0
BRANCH,5,0,9,0
VAN BUREN,5,0,21,0
HURON,5,0,7,0
DICKINSON,4,0,3,0
JACKSON,4,1,25,0
MIDLAND,4,1,9,0
GLADWIN,3,0,4,0
IRON,3,0,10,0
CLINTON,3,0,12,0
ARENAC,3,0,4,0
MECOSTA,3,1,3,0
WEXFORD,2,0,2,0
SANILAC,2,0,13,0
ALLEGAN,2,0,14,0
OCEANA,2,0,13,1
MASON,1,0,4,0
PRESQUE ISLE,1,0,1,0
OGEMAW,1,1,1,0
CLARE,1,0,2,0
OSCODA,0,0,0,0
ROSCOMMON,0,0,0,0
OSCEOLA,0,0,0,0
ONTONAGON,0,0,2,0
SCHOOLCRAFT,0,0,1,0
ALCONA,0,0,5,0
MONTMORENCY,0,0,0,0
MISSAUKEE,0,0,0,0
ANTRIM,0,0,0,0
BARAGA,0,0,3,0
BENZIE,0,0,0,0
CHARLEVOIX,0,0,11,0
CHEBOYGAN,0,0,2,0
CHIPPEWA,0,0,0,0
EMMET,0,0,6,0
HOUGHTON,0,0,13,0
IONIA,0,0,2,0
KALKASKA,0,0,2,0
ALGER,0,0,0,0
LEELANAU,0,0,5,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,0,0
LAKE,0,0,2,0
